,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
10141,33878,2017,1,10,13,11.0,11.0,2.0,12.0,300.0,58.0,2.825,1025.75,-19.5,0.0,NW,5.0,Nongzhanguan
10142,33879,2017,1,10,14,10.0,15.0,3.0,16.0,300.0,56.0,3.85,1024.5,-19.7,0.0,NW,4.3,Nongzhanguan
10143,33880,2017,1,10,15,3.0,12.0,2.0,15.0,300.0,58.0,4.48,1024.0,-20.7,0.0,W,2.0,Nongzhanguan
10144,33881,2017,1,10,16,4.0,22.0,3.0,19.0,300.0,52.0,4.05,1024.0,-16.1,0.0,SW,3.4,Nongzhanguan
10145,33882,2017,1,10,17,8.0,25.0,3.0,25.0,400.0,47.0,2.35,1025.0,-14.9,0.0,SW,2.7,Nongzhanguan
10146,33883,2017,1,10,18,8.0,12.0,4.0,39.0,400.0,35.0,-0.225,1022.0,-13.0,0.0,SW,2.0,Nongzhanguan
10147,33884,2017,1,10,19,35.0,98.0,10.0,69.0,800.0,16.0,0.5,1026.0,-13.4,0.0,SW,1.7,Nongzhanguan
10148,33885,2017,1,10,20,78.0,118.0,15.0,86.0,1200.0,7.0,-0.075,1026.0,-12.6,0.0,SW,1.5,Nongzhanguan
10149,33886,2017,1,10,21,86.0,118.0,15.0,89.0,1300.0,5.0,-0.525,1026.0,-12.0,0.0,SW,0.6,Nongzhanguan
10150,33887,2017,1,10,22,84.0,119.0,28.0,90.0,1400.0,4.0,-1.425,1026.0,-11.8,0.0,SW,1.6,Nongzhanguan
10151,33888,2017,1,10,23,87.0,112.0,23.0,85.0,1400.0,4.0,-1.5,1026.0,-11.8,0.0,SW,1.9,Nongzhanguan
10152,33889,2017,1,11,0,83.0,96.0,27.0,82.0,1300.0,5.0,-2.33333333333333,1026.0,-11.7,0.0,SW,1.3,Nongzhanguan
10153,33890,2017,1,11,1,82.0,96.0,32.0,77.0,1200.0,4.0,-3.625,1025.0,-11.8,0.0,SW,1.0,Nongzhanguan
10154,33891,2017,1,11,2,82.0,97.0,35.0,75.0,1300.0,4.0,-4.4,1025.0,-11.8,0.0,SW,1.3,Nongzhanguan
10155,33892,2017,1,11,3,91.0,107.0,38.0,74.0,1400.0,4.0,-4.95,1025.0,-12.1,0.0,SW,1.2,Nongzhanguan
10156,33893,2017,1,11,4,92.0,109.0,33.0,74.0,1700.0,58.0,-4.775,1024.25,-11.8,0.0,NE,0.5,Nongzhanguan
10157,33894,2017,1,11,5,90.0,104.0,30.0,89.0,300.0,5.0,-5.15,1023.25,-11.5,0.0,SE,1.4,Nongzhanguan
10158,33895,2017,1,11,6,79.0,84.0,26.0,92.0,3300.0,5.0,-5.225,1023.0,-11.6,0.0,N,1.7,Nongzhanguan
10159,33896,2017,1,11,7,67.0,70.0,25.0,88.0,300.0,5.0,-5.625,1023.0,-11.4,0.0,NE,0.5,Nongzhanguan
10160,33897,2017,1,11,8,47.0,47.0,19.0,78.0,2400.0,4.0,-5.975,1023.0,-11.0,0.0,NE,0.3,Nongzhanguan
10161,33898,2017,1,11,9,50.0,62.0,21.0,80.0,2500.0,4.0,-5.1,1023.0,-10.6,0.0,NE,0.2,Nongzhanguan
10162,33899,2017,1,11,10,58.0,58.0,24.0,86.0,2900.0,5.0,-1.85,1023.0,-9.7,0.0,NE,1.2,Nongzhanguan
10163,33900,2017,1,11,11,66.0,71.0,28.0,90.0,2700.0,58.0,0.625,1023.0,-10.0,0.0,NW,1.1,Nongzhanguan
10164,33901,2017,1,11,12,73.0,77.0,24.0,94.0,2400.0,10.0,2.575,1021.75,-10.8,0.0,SE,0.7,Nongzhanguan
10165,33902,2017,1,11,13,78.0,109.0,24.0,104.0,2300.0,20.0,4.4,1020.5,-10.8,0.0,SW,1.5,Nongzhanguan
10166,33903,2017,1,11,14,2.0,13.0,19.0,2.0,1600.0,22.0,6.04,1019.2,-11.4,0.0,SW,2.5,Nongzhanguan
10167,33904,2017,1,11,15,7.0,5.0,12.0,63.0,1100.0,21.0,6.4,1019.0,-11.8,0.0,SW,1.5,Nongzhanguan
10168,33905,2017,1,11,16,56.0,116.0,22.0,82.0,1400.0,19.0,6.525,1018.0,-12.4,0.0,SW,1.9,Nongzhanguan
10169,33906,2017,1,11,17,108.0,168.0,29.0,103.0,1800.0,12.0,5.625,1018.5,-12.5,0.0,SW,1.5,Nongzhanguan
10170,33907,2017,1,11,18,116.0,160.0,21.0,117.0,2100.0,8.0,3.6,1019.0,-12.2,0.0,SW,1.3,Nongzhanguan
10171,33908,2017,1,11,19,103.0,136.0,20.0,100.0,1900.0,13.0,1.475,1019.0,-11.3,0.0,NW,1.0,Nongzhanguan
10172,33909,2017,1,11,20,63.0,63.0,25.0,82.0,1100.0,15.0,0.05,1019.0,-11.1,0.0,SW,1.5,Nongzhanguan
10173,33910,2017,1,11,21,50.0,50.0,20.0,77.0,1000.0,9.0,0.4,1020.0,-10.4,0.0,SW,0.9,Nongzhanguan
10174,33911,2017,1,11,22,21.0,26.0,17.0,68.0,800.0,10.0,-0.175,1020.0,-10.7,0.0,SE,1.0,Nongzhanguan
10175,33912,2017,1,11,23,34.0,50.0,14.0,75.0,1000.0,14.0,-0.175,1020.0,-11.3,0.0,NE,1.4,Nongzhanguan
10176,33913,2017,1,12,0,49.0,75.0,36.0,76.0,1500.0,7.0,1.25,1020.0,-12.8,0.0,NE,1.8,Nongzhanguan
10177,33914,2017,1,12,1,29.0,29.0,10.0,48.0,600.0,23.0,-0.475,1020.0,-12.4,0.0,NE,1.2,Nongzhanguan
10178,33915,2017,1,12,2,17.0,18.0,10.0,38.0,500.0,28.0,-1.0,1019.0,-12.5,0.0,NE,1.6,Nongzhanguan
10179,33916,2017,1,12,3,25.0,40.0,10.0,49.0,600.0,30.0,-1.95,1019.5,-12.5,0.0,NW,0.7,Nongzhanguan
10180,33917,2017,1,12,4,34.0,37.0,26.0,75.0,1100.0,3.0,-2.1,1019.25,-12.1,0.0,NE,0.2,Nongzhanguan
10181,33918,2017,1,12,5,31.0,24.0,18.0,65.0,700.0,9.0,-1.675,1019.0,-12.1,0.0,NE,2.8,Nongzhanguan
10182,33919,2017,1,12,6,27.0,27.0,12.0,70.0,1000.0,28.0,0.975,1018.25,-12.7,0.0,NE,2.3,Nongzhanguan
10183,33920,2017,1,12,7,26.0,26.0,9.0,75.0,1000.0,9.0,0.275,1018.75,-12.8,0.0,NW,1.0,Nongzhanguan
10184,33921,2017,1,12,8,23.0,23.0,6.0,57.0,500.0,25.0,-1.1,1019.0,-12.7,0.0,NE,1.3,Nongzhanguan
10185,33922,2017,1,12,9,20.0,32.0,15.0,46.0,600.0,33.0,-1.05,1019.0,-11.7,0.0,SE,1.1,Nongzhanguan
10186,33923,2017,1,12,10,19.0,19.0,14.0,33.0,600.0,41.0,1.15,1019.0,-11.1,0.0,SW,2.3,Nongzhanguan
10187,33924,2017,1,12,11,18.0,23.0,15.0,21.0,500.0,54.0,2.48,1019.0,-11.3,0.0,SW,2.2,Nongzhanguan
10188,33925,2017,1,12,12,16.0,28.0,12.0,28.0,500.0,59.0,3.66666666666667,1018.0,-11.4,0.0,SW,3.4,Nongzhanguan
10189,33926,2017,1,12,13,51.0,87.0,25.0,37.0,700.0,40.0,4.1,1017.25,-12.0,0.0,NW,3.4,Nongzhanguan
10190,33927,2017,1,12,14,68.0,86.0,14.0,49.0,900.0,49.0,5.04,1015.6,-12.6,0.0,SW,4.5,Nongzhanguan
10191,33928,2017,1,12,15,67.0,119.0,3.0,2.0,1100.0,39.0,5.3,1015.0,-12.1,0.0,SW,4.1,Nongzhanguan
10192,33929,2017,1,12,16,94.0,152.0,28.0,2.0,1300.0,33.0,5.15,1014.0,-12.0,0.0,SW,3.7,Nongzhanguan
10193,33930,2017,1,12,17,104.0,121.0,24.0,86.0,1600.0,34.0,4.325,1014.0,-11.7,0.0,SW,1.9,Nongzhanguan
10194,33931,2017,1,12,18,107.0,125.0,26.0,99.0,1800.0,30.0,2.9,1014.0,-11.5,0.0,SW,1.5,Nongzhanguan
10195,33932,2017,1,12,19,122.0,165.0,29.0,107.0,1900.0,20.0,1.775,1014.25,-10.9,0.0,SW,1.5,Nongzhanguan
10196,33933,2017,1,12,20,119.0,119.0,26.0,96.0,1700.0,22.0,0.975,1015.0,-10.7,0.0,SW,0.7,Nongzhanguan
10197,33934,2017,1,12,21,42.0,46.0,6.0,51.0,500.0,58.0,-0.25,1015.0,-10.5,0.0,SW,1.1,Nongzhanguan
10198,33935,2017,1,12,22,16.0,37.0,6.0,33.0,200.0,69.0,2.025,1016.0,-11.7,0.0,NW,3.0,Nongzhanguan
10199,33936,2017,1,12,23,12.0,16.0,6.0,26.0,200.0,74.0,3.675,1016.5,-14.5,0.0,NW,2.4,Nongzhanguan
10200,33937,2017,1,13,0,15.0,5.0,6.0,26.0,200.0,74.0,3.05,1017.0,-15.6,0.0,NW,3.1,Nongzhanguan
10201,33938,2017,1,13,1,10.0,10.0,2.0,24.0,200.0,65.0,2.425,1017.0,-16.9,0.0,NW,2.6,Nongzhanguan
10202,33939,2017,1,13,2,16.0,16.0,12.0,30.0,200.0,60.0,1.125,1018.0,-16.6,0.0,NE,3.3,Nongzhanguan
10203,33940,2017,1,13,3,16.0,13.0,12.0,20.0,100.0,61.0,0.05,1018.5,-16.9,0.0,NE,4.0,Nongzhanguan
10204,33941,2017,1,13,4,3.0,12.0,2.0,17.0,100.0,65.0,-0.875,1019.0,-18.4,0.0,NE,1.3,Nongzhanguan
10205,33942,2017,1,13,5,13.0,18.0,6.0,22.0,200.0,67.0,-2.15,1019.0,-18.3,0.0,NE,0.9,Nongzhanguan
10206,33943,2017,1,13,6,13.0,24.0,12.0,20.0,200.0,64.0,-3.175,1019.5,-18.0,0.0,NE,1.5,Nongzhanguan
10207,33944,2017,1,13,7,9.0,23.0,9.0,36.0,300.0,58.0,-3.0,1020.0,-18.3,0.0,NE,2.9,Nongzhanguan
10208,33945,2017,1,13,8,12.0,27.0,10.0,39.0,400.0,42.0,-2.175,1021.0,-18.0,0.0,NE,3.2,Nongzhanguan
10209,33946,2017,1,13,9,18.0,21.0,8.0,34.0,300.0,60.0,-1.65,1021.75,-18.1,0.0,NW,5.3,Nongzhanguan
10210,33947,2017,1,13,10,13.0,13.0,9.0,27.0,300.0,65.0,-0.9,1022.75,-18.5,0.0,NW,3.6,Nongzhanguan
10211,33948,2017,1,13,11,23.0,23.0,17.0,29.0,300.0,69.0,0.15,1023.0,-18.6,0.0,NE,4.7,Nongzhanguan
10212,33949,2017,1,13,12,10.0,10.0,12.0,26.0,300.0,72.0,1.025,1023.0,-19.6,0.0,NE,3.8,Nongzhanguan
10213,33950,2017,1,13,13,19.0,19.0,2.0,22.0,200.0,79.0,1.95,1022.0,-20.4,0.0,NW,5.7,Nongzhanguan
10214,33951,2017,1,13,14,17.0,22.0,6.0,23.0,200.0,76.0,2.8,1021.8,-21.5,0.0,NE,4.3,Nongzhanguan
10215,33952,2017,1,13,15,13.0,30.0,7.0,30.0,200.0,75.0,3.2,1022.0,-22.1,0.0,NW,4.4,Nongzhanguan
10216,33953,2017,1,13,16,5.0,27.0,3.0,22.0,200.0,69.0,3.25,1022.0,-22.8,0.0,NW,3.8,Nongzhanguan
10217,33954,2017,1,13,17,4.0,31.0,10.0,31.0,200.0,68.0,2.9,1022.0,-22.9,0.0,NW,2.3,Nongzhanguan
10218,33955,2017,1,13,18,18.0,21.0,11.0,34.0,300.0,55.0,2.175,1022.0,-22.9,0.0,NW,3.3,Nongzhanguan
10219,33956,2017,1,13,19,7.0,19.0,9.0,48.0,400.0,56.0,1.525,1023.0,-23.4,0.0,NW,3.8,Nongzhanguan
10220,33957,2017,1,13,20,8.0,33.0,5.0,44.0,400.0,50.0,0.825,1023.0,-23.9,0.0,NW,3.0,Nongzhanguan
10221,33958,2017,1,13,21,13.0,36.0,8.0,43.0,500.0,69.0,0.075,1024.0,-23.6,0.0,NW,3.6,Nongzhanguan
10222,33959,2017,1,13,22,23.0,31.0,14.0,39.0,500.0,44.0,-0.5,1024.75,-23.0,0.0,NW,3.4,Nongzhanguan
10223,33960,2017,1,13,23,23.0,20.0,11.0,44.0,400.0,51.0,-0.8,1025.0,-23.0,0.0,NE,2.5,Nongzhanguan
10224,33961,2017,1,14,0,18.0,49.0,13.0,48.0,500.0,47.0,-1.55,1026.0,-22.7,0.0,SE,0.6,Nongzhanguan
10225,33962,2017,1,14,1,10.0,29.0,19.0,51.0,500.0,42.0,-2.425,1026.0,-22.1,0.0,NE,2.2,Nongzhanguan
10226,33963,2017,1,14,2,14.0,33.0,8.0,44.0,500.0,35.0,-2.45,1026.5,-22.6,0.0,NE,1.2,Nongzhanguan
10227,33964,2017,1,14,3,20.0,19.0,6.0,63.0,600.0,27.0,-4.125,1027.0,-21.6,0.0,NE,2.9,Nongzhanguan
10228,33965,2017,1,14,4,23.0,22.0,16.0,63.0,600.0,27.0,-4.15,1027.25,-22.6,0.0,NE,2.6,Nongzhanguan
10229,33966,2017,1,14,5,15.0,15.0,16.0,68.0,500.0,22.0,-4.875,1027.5,-21.7,0.0,NE,1.6,Nongzhanguan
10230,33967,2017,1,14,6,14.0,14.0,6.0,66.0,600.0,26.0,-5.025,1027.25,-21.7,0.0,NE,3.1,Nongzhanguan
10231,33968,2017,1,14,7,15.0,16.0,17.0,60.0,500.0,26.0,-4.95,1027.75,-21.9,0.0,NE,1.8,Nongzhanguan
10232,33969,2017,1,14,8,18.0,24.0,12.0,61.0,600.0,11.0,-5.6,1028.25,-22.0,0.0,NE,1.5,Nongzhanguan
10233,33970,2017,1,14,9,3.0,29.0,14.0,66.0,700.0,21.0,-4.8,1029.0,-20.9,0.0,NE,2.9,Nongzhanguan
10234,33971,2017,1,14,10,20.0,20.0,19.0,51.0,800.0,34.0,-2.575,1030.0,-21.7,0.0,NE,3.6,Nongzhanguan
10235,33972,2017,1,14,11,20.0,20.0,5.0,30.0,500.0,58.0,-1.475,1030.0,-22.0,0.0,NE,3.0,Nongzhanguan
10236,33973,2017,1,14,12,8.0,5.0,11.0,29.0,400.0,63.0,-0.175,1029.75,-22.5,0.0,NE,1.3,Nongzhanguan
10237,33974,2017,1,14,13,10.0,5.0,14.0,20.0,300.0,70.0,1.075,1028.75,-22.9,0.0,NE,1.7,Nongzhanguan
10238,33975,2017,1,14,14,2.0,18.0,13.0,28.0,300.0,70.0,1.96,1028.0,-23.5,0.0,SE,2.5,Nongzhanguan
10239,33976,2017,1,14,15,4.0,7.0,1.0,24.0,300.0,70.0,2.63333333333333,1028.0,-24.0,0.0,SE,2.1,Nongzhanguan
10240,33977,2017,1,14,16,21.0,56.0,14.0,44.0,400.0,55.0,2.65,1028.0,-22.3,0.0,NE,2.4,Nongzhanguan
10241,33978,2017,1,14,17,31.0,44.0,16.0,42.0,500.0,56.0,1.725,1028.5,-23.0,0.0,SE,1.6,Nongzhanguan
10242,33979,2017,1,14,18,39.0,72.0,15.0,57.0,600.0,39.0,0.75,1029.25,-22.1,0.0,SE,1.7,Nongzhanguan
10243,33980,2017,1,14,19,33.0,88.0,29.0,72.0,1400.0,30.0,-0.1,1030.0,-19.6,0.0,SE,1.4,Nongzhanguan
10244,33981,2017,1,14,20,55.0,101.0,28.0,78.0,1800.0,16.0,-0.575,1030.0,-18.6,0.0,SE,2.3,Nongzhanguan
10245,33982,2017,1,14,21,40.0,125.0,12.0,73.0,1200.0,60.0,-1.4,1031.0,-9.6,0.0,SE,1.9,Nongzhanguan
10246,33983,2017,1,14,22,31.0,104.0,13.0,73.0,1000.0,15.0,-1.925,1031.5,-8.4,0.0,SW,2.0,Nongzhanguan
10247,33984,2017,1,14,23,38.0,82.0,18.0,82.0,900.0,11.0,-2.65,1032.25,-8.3,0.0,SW,2.0,Nongzhanguan
10248,33985,2017,1,15,0,30.0,60.0,17.0,62.0,600.0,25.0,-3.5,1033.0,-8.3,0.0,SW,1.4,Nongzhanguan
10249,33986,2017,1,15,1,26.0,40.0,6.0,40.0,800.0,60.0,-4.0,1033.0,-8.3,0.0,SW,0.6,Nongzhanguan
10250,33987,2017,1,15,2,37.0,58.0,7.0,59.0,800.0,28.0,-4.725,1033.0,-8.4,0.0,SW,0.7,Nongzhanguan
10251,33988,2017,1,15,3,49.0,69.0,13.0,64.0,1100.0,10.0,-4.825,1033.0,-8.2,0.0,NE,1.2,Nongzhanguan
10252,33989,2017,1,15,4,40.0,69.0,7.0,72.0,1100.0,60.0,-4.95,1033.0,-8.1,0.0,SW,1.6,Nongzhanguan
10253,33990,2017,1,15,5,45.0,66.0,9.0,64.0,1300.0,60.0,-4.05,1032.75,-7.9,0.0,SW,1.6,Nongzhanguan
10254,33991,2017,1,15,6,50.0,80.0,13.0,68.0,1500.0,9.0,-4.075,1032.0,-8.1,0.0,SW,0.7,Nongzhanguan
10255,33992,2017,1,15,7,46.0,46.0,19.0,72.0,1100.0,15.0,-4.125,1032.0,-8.5,0.0,SW,1.3,Nongzhanguan
10256,33993,2017,1,15,8,36.0,36.0,11.0,51.0,600.0,34.0,-4.25,1031.5,-8.7,0.0,SW,1.4,Nongzhanguan
10257,33994,2017,1,15,9,19.0,24.0,18.0,45.0,500.0,34.0,-4.025,1031.5,-8.9,0.0,SW,2.3,Nongzhanguan
10258,33995,2017,1,15,10,31.0,33.0,7.0,44.0,500.0,40.0,-3.675,1031.5,-8.9,0.0,SW,2.7,Nongzhanguan
10259,33996,2017,1,15,11,33.0,40.0,19.0,34.0,600.0,34.0,-2.66,1031.0,-9.3,0.0,SW,1.8,Nongzhanguan
10260,33997,2017,1,15,12,31.0,31.0,16.0,42.0,600.0,35.0,-1.83333333333333,1029.66666666667,-9.3,0.0,SW,2.9,Nongzhanguan
10261,33998,2017,1,15,13,33.0,44.0,11.0,41.0,600.0,43.0,-1.35,1028.5,-9.5,0.0,SW,3.3,Nongzhanguan
10262,33999,2017,1,15,14,50.0,62.0,17.0,46.0,600.0,49.0,-1.06,1027.2,-9.3,0.0,SW,3.2,Nongzhanguan
10263,34000,2017,1,15,15,54.0,79.0,23.0,49.0,600.0,44.0,-0.866666666666667,1026.66666666667,-9.3,0.0,SW,1.9,Nongzhanguan
10264,34001,2017,1,15,16,59.0,89.0,18.0,53.0,700.0,40.0,-0.8,1026.25,-9.2,0.0,SW,1.9,Nongzhanguan
10265,34002,2017,1,15,17,53.0,135.0,16.0,61.0,800.0,34.0,-1.425,1026.0,-9.3,0.0,SW,1.0,Nongzhanguan
10266,34003,2017,1,15,18,64.0,104.0,6.0,70.0,1200.0,13.0,-2.0,1026.0,-9.3,0.0,NW,0.6,Nongzhanguan
10267,34004,2017,1,15,19,69.0,92.0,7.0,73.0,1200.0,12.0,-3.5,1027.0,-9.5,0.0,NE,0.5,Nongzhanguan
10268,34005,2017,1,15,20,80.0,100.0,12.0,71.0,1200.0,14.0,-4.175,1027.0,-9.3,0.0,NE,1.9,Nongzhanguan
10269,34006,2017,1,15,21,87.0,91.0,13.0,66.0,1300.0,10.0,-3.825,1027.25,-8.5,0.0,NE,1.5,Nongzhanguan
10270,34007,2017,1,15,22,83.0,109.0,9.0,78.0,1500.0,9.0,-4.1,1027.25,-8.1,0.0,NE,1.5,Nongzhanguan
10271,34008,2017,1,15,23,94.0,112.0,11.0,76.0,1700.0,1.0,-4.2,1028.0,-8.5,0.0,NE,1.4,Nongzhanguan
10272,34009,2017,1,16,0,95.0,107.0,16.0,80.0,1600.0,6.0,-3.75,1028.0,-8.4,0.0,NE,1.4,Nongzhanguan
10273,34010,2017,1,16,1,95.0,113.0,13.0,69.0,1600.0,39.0,-3.425,1027.5,-8.2,0.0,NE,1.2,Nongzhanguan
10274,34011,2017,1,16,2,109.0,119.0,15.0,72.0,1800.0,9.0,-3.275,1028.0,-8.1,0.0,NE,1.5,Nongzhanguan
10275,34012,2017,1,16,3,108.0,133.0,25.0,75.0,2000.0,13.0,-3.2,1028.0,-8.1,0.0,NE,2.0,Nongzhanguan
10276,34013,2017,1,16,4,105.0,129.0,28.0,76.0,2500.0,3.0,-3.35,1027.0,-8.2,0.0,NE,1.3,Nongzhanguan
10277,34014,2017,1,16,5,100.0,124.0,20.0,74.0,2400.0,39.0,-3.55,1027.0,-8.2,0.0,NE,1.4,Nongzhanguan
10278,34015,2017,1,16,6,109.0,133.0,18.0,76.0,2300.0,2.0,-3.525,1027.0,-8.2,0.0,NE,1.3,Nongzhanguan
10279,34016,2017,1,16,7,98.0,129.0,27.0,75.0,2200.0,7.0,-3.45,1028.0,-8.2,0.0,E,1.8,Nongzhanguan
10280,34017,2017,1,16,8,79.0,102.0,18.0,82.0,1900.0,1.0,-3.225,1028.0,-8.2,0.0,NE,1.2,Nongzhanguan
10281,34018,2017,1,16,9,64.0,64.0,29.0,85.0,1400.0,1.0,-3.1,1029.0,-7.8,0.0,NE,1.7,Nongzhanguan
10282,34019,2017,1,16,10,51.0,51.0,28.0,71.0,1000.0,19.0,-2.65,1029.5,-7.5,0.0,NE,1.5,Nongzhanguan
10283,34020,2017,1,16,11,61.0,55.0,31.0,64.0,1000.0,21.0,-2.08,1030.0,-7.5,0.0,NE,1.7,Nongzhanguan
10284,34021,2017,1,16,12,68.0,68.0,32.0,77.0,1300.0,15.0,-0.933333333333333,1029.0,-7.2,0.0,NE,1.4,Nongzhanguan
10285,34022,2017,1,16,13,83.0,88.0,35.0,72.0,1500.0,14.0,-0.525,1028.25,-7.2,0.0,NE,2.8,Nongzhanguan
10286,34023,2017,1,16,14,92.0,118.0,28.0,79.0,1400.0,13.0,-0.38,1027.0,-7.4,0.0,SE,1.5,Nongzhanguan
10287,34024,2017,1,16,15,105.0,132.0,25.0,88.0,1400.0,17.0,-0.266666666666667,1027.0,-7.8,0.0,NE,1.9,Nongzhanguan
10288,34025,2017,1,16,16,110.0,132.0,26.0,91.0,1500.0,3.0,0.05,1027.0,-7.9,0.0,NE,1.7,Nongzhanguan
10289,34026,2017,1,16,17,118.0,123.0,16.0,83.0,1700.0,12.0,-0.15,1027.0,-7.9,0.0,NE,2.2,Nongzhanguan
10290,34027,2017,1,16,18,120.0,145.0,27.0,91.0,1800.0,9.0,-0.45,1027.5,-7.9,0.0,NE,1.4,Nongzhanguan
10291,34028,2017,1,16,19,128.0,145.0,34.0,98.0,2100.0,9.0,-0.7,1028.0,-7.0,0.0,SE,1.6,Nongzhanguan
10292,34029,2017,1,16,20,135.0,170.0,38.0,92.0,2500.0,9.0,-0.7,1028.25,-6.7,0.0,SE,1.4,Nongzhanguan
10293,34030,2017,1,16,21,125.0,140.0,27.0,98.0,2600.0,12.0,-0.9,1029.0,-6.5,0.0,SE,1.0,Nongzhanguan
10294,34031,2017,1,16,22,112.0,107.0,25.0,84.0,2400.0,12.0,-1.175,1028.75,-6.1,0.0,SE,1.4,Nongzhanguan
10295,34032,2017,1,16,23,116.0,105.0,34.0,81.0,2400.0,9.0,-1.2,1028.0,-6.2,0.0,SE,1.0,Nongzhanguan
10296,34033,2017,1,17,0,113.0,115.0,28.0,89.0,2200.0,6.0,-1.2,1028.0,-5.9,0.0,SE,1.4,Nongzhanguan
10297,34034,2017,1,17,1,99.0,108.0,33.0,76.0,2100.0,6.0,-1.3,1028.0,-5.8,0.0,NE,1.6,Nongzhanguan
10298,34035,2017,1,17,2,106.0,106.0,32.0,79.0,1800.0,1.0,-1.475,1027.5,-5.8,0.0,NE,0.9,Nongzhanguan
10299,34036,2017,1,17,3,106.0,106.0,22.0,74.0,2100.0,11.0,-1.525,1027.0,-5.7,0.0,NE,1.1,Nongzhanguan
10300,34037,2017,1,17,4,117.0,125.0,25.0,73.0,2400.0,11.0,-1.7,1027.0,-5.7,0.0,SE,1.4,Nongzhanguan
10301,34038,2017,1,17,5,117.0,117.0,31.0,81.0,2300.0,11.0,-1.65,1026.75,-5.6,0.0,NE,1.2,Nongzhanguan
10302,34039,2017,1,17,6,109.0,128.0,19.0,75.0,2100.0,4.0,-1.775,1026.0,-5.6,0.0,NE,1.5,Nongzhanguan
10303,34040,2017,1,17,7,121.0,149.0,29.0,75.0,2700.0,9.0,-1.9,1026.0,-5.4,0.0,NE,1.0,Nongzhanguan
10304,34041,2017,1,17,8,146.0,173.0,22.0,87.0,3300.0,10.0,-1.9,1026.5,-5.5,0.0,NE,1.2,Nongzhanguan
10305,34042,2017,1,17,9,154.0,168.0,34.0,87.0,3200.0,9.0,-1.8,1027.0,-5.5,0.0,NE,1.4,Nongzhanguan
10306,34043,2017,1,17,10,120.0,133.0,32.0,79.0,2600.0,11.0,-1.35,1027.0,-5.6,0.0,NE,1.6,Nongzhanguan
10307,34044,2017,1,17,11,135.0,135.0,26.0,76.0,2600.0,10.0,-0.78,1027.8,-5.7,0.0,NE,1.3,Nongzhanguan
10308,34045,2017,1,17,12,147.0,147.0,39.0,78.0,2300.0,16.0,-0.266666666666667,1027.0,-5.5,0.0,NE,0.8,Nongzhanguan
10309,34046,2017,1,17,13,169.0,175.0,34.0,88.0,2300.0,28.0,0.35,1026.0,-5.8,0.0,NW,1.4,Nongzhanguan
10310,34047,2017,1,17,14,163.0,162.0,35.0,92.0,1900.0,31.0,0.96,1025.0,-6.6,0.0,NE,1.0,Nongzhanguan
10311,34048,2017,1,17,15,158.0,158.0,37.0,90.0,1700.0,30.0,1.83333333333333,1025.0,-6.7,0.0,NW,1.8,Nongzhanguan
10312,34049,2017,1,17,16,156.0,212.0,34.0,103.0,1800.0,27.0,1.725,1025.0,-6.7,0.0,SW,1.9,Nongzhanguan
10313,34050,2017,1,17,17,176.0,216.0,29.0,123.0,2400.0,18.0,1.3,1025.0,-6.7,0.0,SW,1.1,Nongzhanguan
10314,34051,2017,1,17,18,174.0,203.0,27.0,127.0,2500.0,3.0,0.35,1025.25,-6.8,0.0,SW,1.4,Nongzhanguan
10315,34052,2017,1,17,19,173.0,196.0,27.0,114.0,2200.0,9.0,-0.225,1026.0,-6.7,0.0,SW,1.9,Nongzhanguan
10316,34053,2017,1,17,20,178.0,191.0,34.0,120.0,2100.0,8.0,-1.15,1027.0,-6.9,0.0,NW,1.2,Nongzhanguan
10317,34054,2017,1,17,21,159.0,181.0,24.0,114.0,2100.0,3.0,-2.25,1027.75,-7.0,0.0,SW,1.0,Nongzhanguan
10318,34055,2017,1,17,22,170.0,213.0,23.0,124.0,2700.0,15.0,-3.075,1028.5,-7.3,0.0,SW,0.7,Nongzhanguan
10319,34056,2017,1,17,23,174.0,174.0,25.0,114.0,2900.0,5.0,-3.875,1029.75,-7.4,0.0,NE,0.4,Nongzhanguan
10320,34057,2017,1,18,0,159.0,159.0,25.0,108.0,2400.0,3.0,-4.2,1030.0,-7.5,0.0,SE,1.2,Nongzhanguan
10321,34058,2017,1,18,1,115.0,142.0,30.0,104.0,2200.0,13.0,-4.2,1030.0,-7.8,0.0,NE,1.4,Nongzhanguan
10322,34059,2017,1,18,2,107.0,107.0,16.0,97.0,1800.0,15.0,-4.2,1030.25,-9.0,0.0,NE,0.7,Nongzhanguan
10323,34060,2017,1,18,3,56.0,56.0,17.0,92.0,1200.0,7.0,-5.3,1031.0,-10.3,0.0,NE,1.3,Nongzhanguan
10324,34061,2017,1,18,4,34.0,34.0,21.0,62.0,900.0,31.0,-5.325,1031.0,-12.0,0.0,NE,2.1,Nongzhanguan
10325,34062,2017,1,18,5,30.0,30.0,16.0,51.0,600.0,43.0,-4.475,1030.5,-14.6,0.0,NE,1.6,Nongzhanguan
10326,34063,2017,1,18,6,25.0,25.0,17.0,54.0,600.0,36.0,-4.7,1030.0,-15.3,0.0,NE,2.2,Nongzhanguan
10327,34064,2017,1,18,7,30.0,30.0,18.0,58.0,600.0,33.0,-5.1,1030.0,-15.5,0.0,NE,1.6,Nongzhanguan
